frame,split,width,height,thermal_dtype,thermal_mean,thermal_std,thermal_min,thermal_max,rgb_mean,rgb_sha256,thermal_sha256
000200,train,460,445,uint8,86.733,62.568,0,255,126.83,ea0a0306c40d1df83a8e7c07e07cbf62ccb6e454a627813ac5831309fe1cbbef,352782a9816cb453d5cbd59be1f43b6792d0ec27bbe4538b08f44b4040831ac0
000201,train,460,445,uint8,86.677,62.709,0,255,127.319,ad6523b862edb7ca5aeed4ecf6b664167b1bc011ba1fa1d60266f24e22629ca5,f89a9791e042bfb30c5e50b22c18af8b5127bc1af9b8f044d141e0fb832b8d3a
000202,train,460,445,uint8,86.662,62.646,0,255,132.82,476cd23f9590d93025eb17d2c1304ed9ca00b62ef5de386e18c1132975ae74b9,a59b9037388c2c260f3538ab069e665ab2e2924ce2aa87ebbd40616733384df3
000203,train,460,445,uint8,86.463,62.441,0,255,130.88,ca96dae9aa642a0d0f3c525e2271130278e344e846755adbc82a1cddba721e43,ed3644a671bf2d42488c7e16cc45e893c4abb5bd040f2bb38458f8308c5d7c91
000204,train,460,445,uint8,90.143,60.15,0,255,130.823,0af1062d16a936eaee2dc1b4d512a7b7371f169fa667ea961404dfe7459f4209,ef9f58e643a80ee16e8f5cc1d3b2b4ea9d7d046a0a095015c62242c4d2cb1f6a
000205,train,460,445,uint8,84.442,62.747,0,255,130.92,7576edf45d8bc7c5147f5a7d03235ca96280e43aa9d808eaafb0d1895a1d701b,70bfa7f6ee514addbc41da4190a75fc6668248d850b14a135e2b77a231aa58f8
000206,train,460,445,uint8,84.304,63.493,0,255,130.89,1e038c39e31edc714392e43c0b9cbe0108eb487dabc5729c6400222762f34616,5eb8da2203cc19b770cd76a157c9814900a1e85900b1a352fe91252d47a79b90
000207,train,460,445,uint8,84.072,62.652,0,255,130.776,018766e99b70d855a1d798f896a869a1e754e7db447a5cce5b944e275751d570,2196e005d0d06ed77517e746d22fff4a52517f99ce4da3375ed13ceb7db88c48
000208,train,460,445,uint8,84.362,62.528,0,255,130.992,cb9047099b0b45c9d1b37d45d2a752a7e23c13c1e9fcab579eea874e598f5100,17de54ef39326421f3bc7939fe13f6c3f7d07526b130c25e697cf3255413167a
000209,train,460,445,uint8,84.777,62.601,0,255,131.431,4959923b64d0c9dbec6694a6bf5c1a3755874697f7091789b6fa67c203192c32,1a4ebb56bad0fddc24baaa8f4c7f7ef259ae842f276236ccf97bf5a65d065018
000210,train,460,445,uint8,84.855,62.71,0,255,131.355,2cf70731e9837bfe355af865abf55de0029ac6800edc51fb350a59b791e772f0,f926ca95cdf1a38214c625e7ef29d3df03b55e68dec047e860f6a89aacf776a2
000211,train,460,445,uint8,84.706,62.547,0,255,131.51,b041e54e96aab83f6709eb15a46e0d2bd05c34bc9d8477e8c6aa1833df47b85b,629e4b3fd4d1e60fd1b477a804dcb0325fd20a290f02ccd1f8ea1ee9d1f567c5
000212,train,460,445,uint8,84.485,62.356,0,255,132.255,bbe0154fa63bf46ea0454dacaf72db1ae07f5451bf032438121fc1db2218ccc0,295eb2c523d72720fba27edece729796c32e70fdd9553634eab6781de2658a06
000213,train,460,445,uint8,83.991,61.766,0,255,132.358,6016a103c32727227def202b83d55697658aa75b69fb996fa1bf4e573446bedf,bdd59f76568e37952cb75cd990bf92b6ea3a2d067ad4d3977cb6dd4ede1e6453
000214,train,460,445,uint8,83.703,61.355,0,255,130.701,280b18551bbc9ccbee002bf4fe77e079543ba2f6c46bb26ba1a363ff7139efa8,cf27eea942c12c2a06fa2df52b31869639f1cd12ad030908baa1f2ba2e65d0ab
000215,train,460,445,uint8,83.099,60.52,0,255,129.255,0b1732037cc66e6ca00eec0bb893e4dc627692184e06d934a9013b82c8d0ca04,859d242d158335a8784219951f73e368d474bd9a840580f0c02fbc3fb028bfdf
000216,train,460,445,uint8,82.003,59.446,0,255,128.166,b5a599623cd8727c4ae0f46e163dd23974c86482d75f73c820f7af49bdc23ac8,6f924904222241cc5f1060ddfd81e550ff5662ea469d29f263c693c50f4dd86c
000217,train,460,445,uint8,81.954,59.574,0,255,123.617,751a661525f810398b2498cd951688df53389686e138f58f1566bb397d051aaf,e4ed81b952790477bedcf37a64906d1e5bf30fb05e8e22c1304bc95735cff64c
000218,train,460,445,uint8,82.707,60.374,0,255,117.068,6e24f33aadef67fa92c5604114a5652f2a9b2509f5c6601462d4f4c051673ff5,743950e522623af5e4bd003d5cc5f78daf381f47aa232668386694c38f7444d4
000219,train,460,445,uint8,83.428,60.722,0,255,119.778,00250a8e8c5a9564e87493ca835dc2f279c8f96bfead5f589c7d0de7c344d1b6,41558edecab6e81696fcd51fe49bc814a0e9a3059de9016aa97335982804de7e
000220,train,460,445,uint8,83.603,60.299,0,255,123.445,87402027ff40f6631f08378d79976e724b563424ae563ca676cc45532972fbaf,035d2c2693b8c19c96fd7c03b54df4783b03fac47040972998f4cae8bccd7139
000221,train,460,445,uint8,83.924,60.543,0,255,126.302,4afc02aa7b171b4125fc685e0dc90086cf41fb73d5ed2113f1e022d89c636404,71d6bfaefe3756d9d63fccf36d2ad03179b761c6fa1137b6edd1290d6d2adba1
000222,train,460,445,uint8,84.85,60.805,0,255,128.044,ec1443ef4cb91c76febbbe2a548bb1affd037a0070e97fa68dc2eafc4c1e9baa,2dca451c9a66503fe0a437466bc1de7b92e56af354ef20e75200786ab5365878
000223,train,460,445,uint8,83.969,60.304,0,255,127.676,191c9c1f6d107b50fc7d86b6b925cc0d570459bf21f6da11d9e446ff0bf029e3,02c71b8f0b800347a4f40a3b0b463538438d60a8343ae9fbe859e032648511f0
000224,train,460,445,uint8,84.2,60.209,0,255,124.512,f5ec7660bde2a51ae597d76dbb83d4375f4d29bcbd5c6eb0bdfd78a613e6ba23,e2d1fb5ce556f70f3cdcbabebbc766254cbd293aae73cb413715f95e8c01e459
000225,train,460,445,uint8,83.593,59.45,0,255,121.525,0a4257309d5ee6d413b2012bcc1b3cbe209752dcb726c5009b98658ed15b0881,a4f25e3da5a3848b1258230ef733bb838e3ef1ef0a37b916af9bf17844bcac9c
000226,train,460,445,uint8,83.489,59.232,0,255,121.2,97d2e5874860011d14b949ee404be205a454b4d8c0cbdfffea7ccb588265aeff,ffdfd4af4bfd67a369402978b334bf4f7bf7fc30bdb73ae8e63b16c4ddbb7a58
000227,train,460,445,uint8,84.134,59.945,0,255,119.206,bfec094e77b9e02c814e053f78827cedb441e50551e5da9dda6a547f6eccf7ef,98747b2b0e388a563b311259dce8ba0638d2ae2c131318aec25a589f33f3acd5
000228,train,460,445,uint8,85.759,60.917,0,255,118.515,58808db1453aca7b2b507dc396f9f727055f5d0a51fb399d65ff26bbcf7fd7a6,c5a7e6c5805f549d82b4f2c8807afd9eb2eabebcea9e6555ff8cd9b31fd32e01
